EC,RefSeq1,RefSeq2,gene1,gene2
2.7.4.6,NM_000269,NM_002513,HGNC:7849,HGNC:7851
3.6.4.12,NM_000122,NM_025049,HGNC:3435,HGNC:26220
2.3.1.50,NM_018327,NM_004863,HGNC:16253,HGNC:11278
1.6.5.3,NM_021074,NM_007103,HGNC:7717,HGNC:7716
2.1.1.43,NM_006709,NM_024757,HGNC:14129,HGNC:24650
2.7.11.1,NM_181690,NM_001042600,HGNC:393,HGNC:6863
3.1.3.16,NM_000944,NM_030768,HGNC:9314,HGNC:15566
5.4.2.2,NM_002633,NM_018290,HGNC:8905,HGNC:8906
1.1.1.1,NM_000669,NM_000672,HGNC:251,HGNC:255
2.7.11.1,NM_001320,NM_182948,HGNC:2460,HGNC:9381
3.1.4.17,NM_001083,NM_006204,HGNC:8784,HGNC:8787
2.7.11.1,NM_002578,NM_002739,HGNC:8592,HGNC:9402
2.3.1.57,NM_002970,NM_133491,HGNC:10540,HGNC:23160
2.7.11.1,NM_006259,NM_212535,HGNC:9416,HGNC:9395
2.4.99.-,NM_006100,NM_005668,HGNC:18080,HGNC:10871
3.1.4.17,NM_006204,NM_000922,HGNC:8787,HGNC:8779
1.14.11.7,NM_022356,NM_018192,HGNC:19316,HGNC:19317
2.7.11.1,NM_001042600,NM_003157,HGNC:6863,HGNC:11399
2.4.1.41,NM_001122636,NM_001168368,HGNC:4131,HGNC:23233
2.8.2.23,NM_005114,NM_006043,HGNC:5194,HGNC:5195
2.7.11.1,NM_182948,NM_006255,HGNC:9381,HGNC:9403
2.7.11.1,NM_020223,NM_006259,HGNC:22140,HGNC:9416
3.6.3.8,NM_174953,NM_001001396,HGNC:813,HGNC:817
2.7.11.1,NM_006259,NM_001081640,HGNC:9416,HGNC:9413
2.4.1.223,NM_001439,NM_001440,HGNC:3516,HGNC:3518
1.1.1.-,NM_001098521,NM_148897,HGNC:16637,HGNC:29958
1.6.5.3,YP_003024033,NM_004550,HGNC:7458,HGNC:7708
3.1.3.16,NM_014225,NM_001009552,HGNC:9302,HGNC:9300
3.6.3.8,NM_004320,NM_001001486,HGNC:811,HGNC:13211
2.7.11.1,NM_002576,NM_002730,HGNC:8590,HGNC:9380
2.7.11.1,NM_006257,NM_016281,HGNC:9410,HGNC:18133
1.9.3.1,NM_004374,NM_004373,HGNC:2285,HGNC:2277
2.7.11.1,NM_016281,NM_001081640,HGNC:18133,HGNC:9413
2.7.10.1,NM_005607,NM_001005861,HGNC:9611,HGNC:10481
2.8.2.-,NM_012126,NM_004807,HGNC:1973,HGNC:5201
3.1.3.16,NM_002715,NM_030768,HGNC:9299,HGNC:15566
3.1.3.16,NM_006741,NM_006241,HGNC:9286,HGNC:9288
6.1.1.5,NM_002161,NM_018060,HGNC:5330,HGNC:29685
3.1.3.16,NM_002715,NM_147180,HGNC:9299,HGNC:9318
2.4.1.41,NM_054110,NM_024572,HGNC:21531,HGNC:22946
2.8.2.23,NM_005114,NM_006042,HGNC:5194,HGNC:5196
3.1.3.16,NM_002717,NM_002718,HGNC:9304,HGNC:9307
3.1.3.16,NM_181876,NM_001009552,HGNC:9306,HGNC:9300
2.7.11.1,NM_181690,NM_006255,HGNC:393,HGNC:9403
2.7.10.1,NM_005607,NM_002529,HGNC:9611,HGNC:8031
3.1.1.4,NM_001114633,NM_213600,HGNC:9036,HGNC:27396
3.6.3.8,NM_001001396,NM_021949,HGNC:817,HGNC:816
2.7.11.19,NM_000294,NM_006213,HGNC:8931,HGNC:8930
2.8.2.1,NM_003166,NM_001017389,HGNC:11455,HGNC:30004
2.4.1.41,NM_014568,NM_198516,HGNC:4127,HGNC:30488
3.1.3.16,NM_002706,NM_145049,HGNC:9276,HGNC:28110
2.4.1.41,NM_014568,NM_198321,HGNC:4127,HGNC:19873
2.4.99.-,NM_030965,NM_001004470,HGNC:19342,HGNC:23317
2.7.11.1,NM_006282,NM_014683,HGNC:11408,HGNC:13480
3.1.3.16,NM_145049,NM_002718,HGNC:28110,HGNC:9307
2.7.11.1,NM_002576,NM_003157,HGNC:8590,HGNC:11399
2.4.1.198,NM_002641,NM_153747,HGNC:8957,HGNC:8960
3.1.3.16,NM_000944,NM_002720,HGNC:9314,HGNC:9319
3.1.3.16,NM_005167,NM_147180,HGNC:20785,HGNC:9318
2.7.10.1,NM_005246,NM_004383,HGNC:3655,HGNC:2444
3.1.3.16,NM_015020,NM_145049,HGNC:29149,HGNC:28110
2.7.10.1,NM_004431,NM_002019,HGNC:3386,HGNC:3763
3.1.1.4,NM_022819,NM_001128203,HGNC:30040,HGNC:17825
2.7.10.1,NM_005356,NM_002529,HGNC:6524,HGNC:8031
3.1.3.16,NM_005605,NM_181678,HGNC:9316,HGNC:9305
3.1.3.16,NM_005605,NM_152542,HGNC:9316,HGNC:25415
2.8.2.-,NM_022467,NM_021615,HGNC:15993,HGNC:6938
3.6.4.12,NM_000489,NM_025049,HGNC:886,HGNC:26220
1.10.2.2,NM_006003,NM_014402,HGNC:12587,HGNC:29594
2.7.11.1,NM_005163,NM_003157,HGNC:391,HGNC:11399
2.5.1.18,NM_000851,NM_015917,HGNC:4637,HGNC:16906
2.1.1.-,NM_018146,NM_024831,HGNC:18485,HGNC:17843
2.7.4.3,NM_001625,NM_013410,HGNC:362,HGNC:363
2.7.10.1,NM_000061,NM_004431,HGNC:1133,HGNC:3386
3.1.3.16,NM_014225,NM_181678,HGNC:9302,HGNC:9305
3.1.3.16,NM_015020,NM_002717,HGNC:29149,HGNC:9304
3.1.3.16,NM_145049,NM_001009552,HGNC:28110,HGNC:9300
2.5.1.18,NM_002413,NM_000848,HGNC:7063,HGNC:4634
2.7.10.1,NM_020526,NM_005356,HGNC:3391,HGNC:6524
2.5.1.18,NM_000851,NM_002413,HGNC:4637,HGNC:7063
